chem_code	from	bigslice_class	bigslice_subclass
transAT-PKS	as7	Polyketide	transAT-PKS
transAT-PKS-like	as7	Polyketide	transAT-PKS-like
bottromycin	as7	RiPP	bottromycin
cyanobactin	as7	RiPP	cyanobactin
cyclic-lactone-autoinducer	as7	RiPP	cyclic-lactone-autoinducer
epipeptide	as7	RiPP	epipeptide
fungal-RiPP	as7	RiPP	fungal-RiPP
fungal-RiPP-like	as7	RiPP	fungal-RiPP-like
glycocin	as7	RiPP	glycocin
lanthipeptide-class-i	as7	RiPP	lanthipeptide
lanthipeptide-class-ii	as7	RiPP	lanthipeptide
lanthipeptide-class-iii	as7	RiPP	lanthipeptide
lanthipeptide-class-iv	as7	RiPP	lanthipeptide
lanthipeptide-class-v	as7	RiPP	lanthipeptide
LAP	as7	RiPP	LAP
lassopeptide	as7	RiPP	lassopeptide
linaridin	as7	RiPP	linaridin
lipolanthine	as7	RiPP	lipolanthine
microviridin	as7	RiPP	microviridin
proteusin	as7	RiPP	proteusin
ranthipeptide	as7	RiPP	ranthipeptide
RaS-RiPP	as7	RiPP	RaS-RiPP
redox-cofactor	as7	RiPP	redox-cofactor
RiPP-like	as7	RiPP	RiPP-like
RRE-containing	as7	RiPP	RRE-containing
sactipeptide	as7	RiPP	sactipeptide
spliceotide	as7	RiPP	spliceotide
thioamitides	as7	RiPP	thioamitides
thiopeptide	as7	RiPP	thiopeptide
amglyccycl	as7	Saccharide	amglyccycl
oligosaccharide	as7	Saccharide	oligosaccharide
saccharide	as7	Saccharide	generic
terpene	as7	Terpene	generic
2dos	as7	Other	2-dos aminoglycoside
aminopolycarboxylic-acid	as7	Other	aminopolycarboxylic-acid
crocagin	as7	Other	crocagin
methanobactin	as7	Other	methanobactin
mycosporine-like	as7	Other	mycosporine-like
RCDPS	as7	Other	RCDPS
aureonuclemycin	as8	Other	aureonuclemycin
benzoxazole	as8	Polyketide	benzoxazole
T1PKS	as8	Polyketide	T1PKS
T2PKS	as8	Polyketide	T2PKS
T3PKS	as8	Polyketide	T3PKS
transAT-PKS	as8	Polyketide	transAT-PKS
polyhalogenated-pyrrole	as8	Other	polyhalogenated-pyrrole
prodigiosin	as8	Polyketide	prodigiosin
PpyS-KS	as8	Polyketide	PpyS-KS
arylpolyene	as8	Other	arylpolyene
ladderane	as8	Other	ladderane
leupeptin	as8	Other	leupeptin
HR-T2PKS	as8	Polyketide	HR-T2PKS
PUFA	as8	Other	PUFA
resorcinol	as8	Other	resorcinol
NRPS	as8	NRP	generic
CDPS	as8	NRP	CDPS
fungal_CDPS	as8	NRP	fungal_CDPS
RCDPS	as8	NRP	RCDPS
thioamide-NRP	as8	NRP	thioamide-NRP
NAPAA	as8	Other	NAPAA
mycosporine	as8	Other	mycosporine
terpene	as8	Terpene	generic
atropopeptide	as8	RiPP	atropopeptide
lanthipeptide-class-i	as8	RiPP	lanthipeptide
lanthipeptide-class-ii	as8	RiPP	lanthipeptide
lanthipeptide-class-iii	as8	RiPP	lanthipeptide
lanthipeptide-class-iv	as8	RiPP	lanthipeptide
lanthipeptide-class-v	as8	RiPP	lanthipeptide
lipolanthine	as8	RiPP	lipolanthine
azole-containing-RiPP	as8	RiPP	azole-containing-RiPP
thioamitides	as8	RiPP	thioamitides
linaridin	as8	RiPP	linaridin
cyanobactin	as8	RiPP	cyanobactin
glycocin	as8	RiPP	glycocin
lassopeptide	as8	RiPP	lassopeptide
sactipeptide	as8	RiPP	sactipeptide
